time,open,high,low,close,Basis,Upper,Lower,Basis,Upper,Lower,MA,MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Histogram,MACD,Signal,Plot,Plot,Aroon Up,Aroon Down,K,D,Plot
1536652800,55.97,56.43,54.74,55.91,61.44199999999999,70.11417066252747,52.76982933747251,61.44199999999999,70.11417066252747,52.76982933747251,57.541111111111064,57.541111111111064,47576,53928.15,47576,53928.15,47576,53928.15,-0.7951855808646646,-2.683115845871235,-1.8879302650065706,-8.032441176470527,1.0680224403927068,14.285714285714286,85.71428571428571,38.652211478630534,20.234448981157755,4.711863472049728
1536739200,56.32,58.52,55.79,58.13,60.87149999999999,68.80768365462932,52.935316345370666,60.87149999999999,68.80768365462932,52.935316345370666,57.221111111111064,57.221111111111064,58095,54474.85,58095,54474.85,58095,54474.85,-0.5031433724465018,-2.5168594805646975,-2.013716108118196,-7.789676470588198,1.253822629969419,7.142857142857143,78.57142857142857,65.31466749994367,41.81433730876093,3.3828180766124474
1536825600,57.69,59.02,57.05,57.89,60.378,67.74661072387462,53.009389276125376,60.378,67.74661072387462,53.009389276125376,56.9144444444444,56.9144444444444,50104,53777.35,50104,53777.35,50104,53777.35,-0.2906789409622035,-2.3770647843209503,-2.0863858433587468,-7.487647058823484,1.3226059654631084,0,71.42857142857143,70.35252217683042,58.10646705180153,0.35641155485158915
1536912000,57.78,59.49,57.33,59.05,59.97499999999999,66.6783976459707,53.27160235402926,59.97499999999999,66.6783976459707,53.27160235402926,56.76888888888884,56.76888888888884,61718,54959.05,61718,54959.05,61718,54959.05,-0.049222809512066146,-2.1479143552488296,-2.0986915457367634,-6.164029411764659,1.080312722103767,0,64.28571428571429,85.3847033160883,73.68396433095413,1.7503350988009994
1537171200,58.23,60.2,57.67,58.97,59.86799999999998,66.5638273573927,53.17217264260727,59.86799999999998,66.5638273573927,53.17217264260727,56.89777777777773,56.89777777777773,54452,52576.75,54452,52576.75,54452,52576.75,0.11872551402186726,-1.9502846532094296,-2.069010167231297,-5.540852941176425,0.6262458471760798,0,57.142857142857146,91.75135441272566,82.49619330188146,0.48219881711244117
1537257600,59.4,60.55,55.12,57,59.63299999999998,66.3848178292967,52.88118217070327,59.63299999999998,66.3848178292967,52.88118217070327,56.99222222222218,56.99222222222218,77335,52430.7,77335,52430.7,77335,52430.7,0.11091045491817164,-1.9303720985835824,-2.041282553501754,-5.0637941176470065,1.251700680272109,0,50,91.52875806277753,89.55493859719716,5.513928617128866
1537344000,56.21,60.02,56.21,59.83,59.40349999999999,65.79107003875541,53.015929961244574,59.40349999999999,65.79107003875541,53.015929961244574,57.39222222222218,57.39222222222218,51650,51739.6,51650,51739.6,51650,51739.6,0.2994119899549179,-1.6670175660581066,-1.9664295560130245,-4.827235294117607,0.8099022004889975,0,42.857142857142854,92.0788292087969,91.78631389476669,1.532255381098422
1537430400,60.7,61.21,58.7,59.71,59.17149999999998,65.14736571134321,53.195634288656755,59.17149999999998,65.14736571134321,53.195634288656755,58.17666666666662,58.17666666666662,46081,52380.05,46081,52380.05,46081,52380.05,0.4121348722117708,-1.451260965748311,-1.863395837960082,-4.225735294117598,2.0387755102040814,100,35.714285714285715,91.96538603071167,91.85765776742869,-2.341078114502647
1537516800,59.61,60.14,59.11,59.84,58.96099999999998,64.51646181698786,53.40553818301209,58.96099999999998,64.51646181698786,53.40553818301209,58.48111111111106,58.48111111111106,41485,52835.65,41485,52835.65,41485,52835.65,0.48646712044334595,-1.2553119374058994,-1.7417790578492454,-3.6842058823528916,1.048353188507358,92.85714285714286,28.571428571428573,99.5823306065319,94.54218194868015,-5.862133622724169
1537776000,59.75,60.63,58.73,59.96,58.72949999999999,63.680384668421,53.778615331578976,58.72949999999999,63.680384668421,53.778615331578976,58.93111111111107,58.93111111111107,38051,53486.85,38051,53486.85,38051,53486.85,0.5310933101296902,-1.0779124201871326,-1.6090057303168228,-3.240205882352903,0.583868665239115,85.71428571428571,21.428571428571427,99.5823306065319,97.04334908125848,-8.797902920027694
